"","IE_3_4.1","IE_3_4.2","IE_3_4.3","IE_3_4.4","IE_3_4.5","IE_3_4.6","IE_3_4.7","IE_3_4.8","IE_3_4.9","IE_3_4.10","IE_3_4.11","IE_3_4.12","IE_3_4.13","IE_3_4.14"
"FEB 1993",86.1,-10.70,-8.92,-17.88,-9.89,-6.32,-12.89,-10.93,-8.77,82.1,81.1,97.6,71.3,80.9
"MAR 1993",93.6,-5.91,-2.71,-12.37,-5.79,-3.63,-4.92,-6.28,-2.79,88.9,88.5,102.9,80.4,88.3
"ABR 1993",86.1,-8.18,-6.68,-16.27,-5.98,-4.37,-8.64,-8.28,-5.04,81.5,81.4,92.4,73.4,83.7
"MAY 1993",90.9,-5.01,-3.15,-12.59,-4.47,1.15,-8.37,-5.85,3.79,81.6,82.2,92.0,74.9,84.4
"JUN 1993",92.4,-5.87,-5.57,-8.93,-6.59,1.05,-7.40,-6.50,3.06,84.8,85.8,97.3,78.8,86.7
"JUL 1993",93.1,-6.62,-4.31,-15.47,-3.81,-5.72,-13.27,-6.57,-5.00,82.2,82.8,99.2,71.3,84.2
"AGO 1993",54.2,-3.42,2.78,-20.88,-4.30,0.77,-5.31,-4.45,3.82,59.1,58.2,70.8,48.3,56.4
"SEP 1993",92.9,-1.53,2.65,-9.94,-0.28,-2.67,-14.22,-1.49,1.18,86.9,87.7,105.2,77.5,87.0
"OCT 1993",92.7,-3.50,-3.94,-11.08,0.54,-1.60,-7.59,-4.02,4.28,89.0,89.4,106.2,78.0,90.1
"NOV 1993",95.0,2.33,3.78,-7.25,5.97,3.38,-6.46,2.03,7.34,87.3,86.7,101.4,77.4,87.0
"DIC 1993",87.8,6.09,10.67,-8.17,9.27,9.35,6.79,5.76,8.06,79.2,77.7,88.6,75.6,72.9
"ENE 1994",87.0,3.42,5.48,-8.01,7.63,2.56,-0.58,3.59,3.13,79.7,78.1,94.0,62.8,81.2
"FEB 1994",90.8,5.43,7.63,0.56,7.27,2.53,8.59,5.65,2.99,82.9,82.2,97.8,70.9,83.3
"MAR 1994",98.9,5.64,5.81,0.00,9.70,2.15,2.05,6.45,-1.66,90.3,90.4,104.0,79.5,92.9
"ABR 1994",92.6,7.52,7.80,3.52,9.54,6.49,1.58,7.80,5.14,84.8,84.8,94.8,75.4,88.3
"MAY 1994",97.4,7.12,8.06,2.38,11.83,-1.14,5.38,7.89,0.17,84.8,85.7,95.2,75.9,90.2
"JUN 1994",100.7,8.96,9.91,0.48,13.97,5.65,11.05,8.98,7.50,89.3,90.5,101.0,82.9,92.8
"JUL 1994",98.0,5.28,2.48,3.74,7.10,9.91,14.61,4.52,12.22,87.2,87.8,102.1,77.2,90.6
"AGO 1994",61.3,13.05,11.89,5.56,21.43,6.71,16.38,14.22,5.78,62.5,61.7,73.4,49.4,62.6
"SEP 1994",100.1,7.75,5.50,4.86,12.57,5.49,17.41,8.08,2.83,91.0,92.1,106.1,81.7,94.1
"OCT 1994",99.6,7.37,8.78,7.18,9.65,-1.90,8.94,8.51,-3.95,94.0,94.7,109.5,83.6,97.1
"NOV 1994",104.1,9.60,10.58,10.29,11.93,-0.14,9.00,11.30,-6.08,93.0,93.2,106.0,83.8,95.7
"DIC 1994",95.4,8.61,2.65,11.44,15.76,1.58,8.98,9.67,-0.15,86.0,85.3,92.7,83.0,83.7
"ENE 1995",99.5,14.34,7.66,29.88,19.39,1.00,12.06,15.95,2.49,85.2,83.5,95.8,70.4,87.9
"FEB 1995",96.9,6.74,1.77,12.85,11.48,-2.74,11.25,7.83,-4.59,87.1,86.9,99.6,76.7,89.6
"MAR 1995",108.8,10.07,4.94,17.05,14.57,0.66,14.52,10.57,4.62,95.1,95.1,105.1,86.6,98.7
"ABR 1995",93.0,0.39,-5.93,6.80,4.35,-4.43,6.02,0.51,-1.63,87.9,88.2,96.3,79.6,93.1
"MAY 1995",106.9,9.73,3.90,18.58,11.81,5.62,12.67,10.19,4.14,88.8,89.9,96.9,82.0,95.3
"JUN 1995",107.6,6.91,2.68,12.29,9.34,2.68,8.82,7.31,2.60,92.1,93.6,101.3,87.3,97.1
"JUL 1995",101.4,3.43,-1.98,8.45,7.91,-3.10,-3.19,3.96,-1.21,89.6,90.5,102.6,81.4,93.9
"AGO 1995",64.3,4.89,0.00,11.18,10.02,0.57,6.39,5.51,0.83,65.5,64.7,75.8,53.3,65.3
"SEP 1995",100.8,0.72,-2.77,4.76,2.33,-0.96,-4.10,0.82,1.62,93.5,94.8,108.0,86.5,96.1
"OCT 1995",103.2,3.61,0.00,10.11,4.28,0.97,2.43,3.51,4.28,94.4,95.6,109.9,86.0,96.8
"NOV 1995",105.3,1.15,-0.31,6.38,-0.23,1.64,2.84,0.56,7.12,92.9,92.9,103.9,87.7,92.7
"DIC 1995",90.8,-4.78,-4.93,-3.55,-7.33,0.39,-6.30,-5.47,1.90,86.2,84.9,92.0,87.7,78.9
"ENE 1996",98.0,-1.45,-4.13,-0.25,-0.85,0.49,-4.02,-1.91,2.29,84.3,82.6,92.9,72.8,85.2
"FEB 1996",97.8,0.87,-2.56,4.70,-0.62,8.18,-11.31,0.00,13.46,86.0,85.0,95.7,78.3,85.6
"MAR 1996",101.6,-6.61,-9.83,-3.26,-7.83,-0.52,-10.47,-7.30,1.47,94.5,94.1,102.8,88.7,95.8
"ABR 1996",93.8,0.90,-0.50,7.39,-0.51,-2.03,-0.17,1.26,-3.48,86.0,86.3,92.7,81.2,89.3
"MAY 1996",103.5,-3.14,-3.97,1.52,-4.40,-4.91,-5.13,-3.26,-1.59,87.8,88.5,95.2,82.6,92.4
"JUN 1996",101.4,-5.80,-7.63,-2.25,-6.77,-3.70,-9.96,-6.16,-1.11,91.6,93.1,100.2,89.3,94.8
"JUL 1996",105.3,3.90,5.94,8.36,1.42,-0.28,4.27,4.39,-0.61,88.2,89.2,99.1,82.5,91.7
"AGO 1996",63.3,-1.49,-1.77,5.33,-1.98,-4.26,-9.92,-1.16,-2.14,65.8,65.1,75.4,54.3,65.5
"SEP 1996",99.9,-0.83,-4.71,5.74,-0.12,-4.01,-3.13,-0.58,-3.99,92.5,93.7,103.8,86.7,95.4
"OCT 1996",109.5,6.16,3.77,11.14,7.74,0.27,2.45,6.79,1.89,94.3,95.1,106.7,86.9,96.8
"NOV 1996",103.6,-1.59,-6.81,1.22,-0.12,2.15,-15.73,-2.00,5.74,93.4,93.4,103.5,88.4,93.5
"DIC 1996",92.4,1.72,-0.99,6.96,2.97,-2.58,-10.97,2.10,0.14,85.0,83.3,90.5,84.4,78.5
"ENE 1997",100.9,2.94,3.95,5.96,0.61,3.44,-14.68,3.05,5.01,84.7,82.5,93.0,72.2,84.9
"FEB 1997",97.4,-0.37,5.01,-1.77,-1.25,-7.17,-3.58,0.60,-8.33,87.3,86.8,96.7,79.5,88.9
"MAR 1997",101.5,-0.12,2.44,-1.69,-0.12,-3.55,-2.30,0.12,-2.75,96.6,97.1,104.0,91.4,100.3
"ABR 1997",110.5,17.77,21.29,15.18,18.30,13.17,3.97,18.33,16.12,90.1,90.5,95.1,84.6,95.6
"MAY 1997",106.5,2.90,1.56,0.64,3.22,8.89,-8.43,2.59,9.85,89.9,90.9,95.3,84.7,96.0
"JUN 1997",109.0,7.57,6.56,10.32,7.38,5.70,-6.28,7.95,7.20,95.3,96.9,100.9,93.6,100.5
"JUL 1997",114.1,8.31,6.03,10.89,8.86,8.08,-4.95,8.30,10.79,93.6,94.7,102.1,88.6,99.2
"AGO 1997",68.4,7.95,2.46,14.61,9.09,10.68,-7.15,7.24,15.94,69.4,68.8,76.5,58.4,70.7
"SEP 1997",110.5,10.56,8.50,14.03,10.32,11.10,-0.08,10.26,16.94,96.4,98.0,105.7,91.1,101.7
"OCT 1997",119.2,8.87,7.78,12.71,8.71,5.19,3.67,9.00,7.28,100.3,101.4,110.2,93.5,105.6
"NOV 1997",110.2,6.37,2.88,10.42,8.34,3.16,5.49,6.91,1.43,97.9,98.1,104.1,93.6,100.9
"DIC 1997",102.1,10.52,10.47,8.85,12.48,8.87,2.77,10.55,12.05,90.4,89.2,93.6,90.3,86.9
"ENE 1998",105.4,4.52,4.49,8.49,5.95,-3.92,4.49,5.68,-4.52,90.2,89.1,96.1,79.4,93.8
"FEB 1998",108.9,11.82,8.40,17.81,13.53,5.62,15.03,12.40,4.62,92.6,92.5,99.1,86.2,96.1
"MAR 1998",115.8,14.07,11.55,20.00,15.23,8.04,11.97,15.16,5.07,101.4,101.9,105.5,97.2,106.4
"ABR 1998",107.2,-2.93,-5.43,-0.62,-2.36,-2.75,-5.47,-2.95,-2.36,93.9,94.6,97.1,89.6,99.8
"MAY 1998",112.4,5.52,4.40,9.48,7.47,-3.95,-1.65,6.58,-3.97,94.9,96.6,99.0,91.4,102.3
"JUN 1998",118.2,8.36,7.11,10.55,10.20,1.62,10.04,8.97,1.04,98.5,100.5,102.3,98.2,104.6
"JUL 1998",120.7,5.78,6.79,3.15,6.85,4.25,8.35,5.82,4.73,97.1,98.5,104.0,93.9,102.4
"AGO 1998",73.1,6.84,8.16,8.09,7.59,2.41,5.00,7.85,1.01,71.1,70.4,77.1,60.7,72.0
"SEP 1998",114.4,3.58,5.29,3.77,3.92,-1.56,1.44,3.91,0.57,99.1,100.8,106.9,96.0,103.8
"OCT 1998",118.0,-1.01,-1.64,-1.01,-0.80,0.52,-7.93,-1.17,2.45,101.5,102.9,109.6,97.8,105.5
"NOV 1998",116.5,5.66,6.89,6.65,4.99,2.81,6.84,5.72,4.51,99.2,99.2,105.1,96.7,100.3
"DIC 1998",106.9,4.70,3.72,5.53,3.54,7.91,-1.40,4.42,7.94,89.7,88.0,92.0,91.5,83.2
"ENE 1999",107.7,2.16,0.88,1.43,0.69,10.02,0.31,1.12,11.56,91.1,89.5,95.9,81.3,93.2
"FEB 1999",108.8,-0.11,-3.04,1.63,0.00,3.99,-9.58,-0.75,8.98,91.6,91.1,96.6,86.8,93.3
"MAR 1999",118.0,1.97,2.44,3.52,2.25,-2.77,-13.88,2.21,2.27,100.8,101.3,105.1,97.9,104.4
"ABR 1999",109.6,2.24,4.97,0.10,2.97,-2.42,-3.42,2.61,-0.15,93.4,94.1,95.2,91.3,98.5
"MAY 1999",115.9,3.10,1.79,1.46,4.46,3.98,4.59,2.68,6.59,94.1,95.5,96.6,91.7,100.8
"JUN 1999",120.3,1.83,1.49,-0.27,3.22,1.86,-1.84,1.66,5.02,99.1,101.0,102.3,99.6,104.7
"JUL 1999",122.5,1.49,-3.36,6.01,2.30,3.46,0.83,1.35,3.45,97.7,99.0,103.6,95.2,103.1
"AGO 1999",77.4,5.91,8.43,0.45,7.57,2.88,7.04,6.09,4.87,72.8,72.3,79.8,62.4,73.4
"SEP 1999",119.2,4.19,1.61,5.74,3.87,8.43,-1.76,3.66,10.03,101.0,102.8,107.1,98.6,106.3
"OCT 1999",117.8,-0.20,-2.54,-2.22,1.31,3.75,-12.71,-0.88,9.01,104.3,105.8,111.3,100.3,109.5
"NOV 1999",122.6,5.25,5.74,5.59,4.34,6.20,-6.06,4.81,12.13,103.2,103.7,108.0,100.7,106.0
"DIC 1999",112.6,5.39,7.73,4.17,5.65,2.14,4.05,5.57,4.51,93.7,92.5,95.0,95.4,89.2
"ENE 2000",113.1,5.01,1.64,5.11,5.35,10.35,5.81,3.65,15.43,93.8,91.0,92.2,85.1,96.0
"FEB 2000",119.5,9.81,4.75,14.17,10.47,12.53,11.56,9.49,13.11,96.7,96.2,96.7,93.3,100.4
"MAR 2000",130.0,10.16,7.33,13.89,8.82,14.66,12.05,9.24,19.14,106.1,106.5,104.9,105.5,111.4
"ABR 2000",109.5,-0.11,-5.79,3.00,-0.85,10.88,-7.18,-1.59,17.27,98.4,99.5,97.7,98.0,104.5
"MAY 2000",127.0,9.63,6.51,17.93,7.65,9.50,4.22,9.32,13.65,100.9,102.9,100.9,100.8,109.6
"JUN 2000",126.7,5.28,1.76,11.37,3.90,8.33,3.18,4.72,12.80,103.1,105.9,103.4,106.8,110.5
"JUL 2000",122.6,0.10,0.97,0.78,-2.06,4.06,-1.89,-0.76,9.50,101.6,103.8,104.0,101.4,108.9
"AGO 2000",83.0,7.29,2.73,18.51,7.20,6.74,-3.15,7.02,9.56,79.0,78.5,82.9,70.7,81.6
"SEP 2000",119.4,0.10,-0.49,-0.36,0.10,2.43,0.43,-0.29,4.62,105.3,108.1,108.4,106.3,112.1
"OCT 2000",121.0,2.75,2.11,6.34,0.40,5.60,9.29,2.48,4.52,107.6,109.8,110.7,106.5,114.2
"NOV 2000",127.3,3.82,3.52,6.44,2.08,5.37,9.55,3.73,4.09,107.4,108.4,108.5,107.5,111.3
"DIC 2000",107.2,-4.79,-11.31,0.62,-3.68,-1.77,-3.37,-5.28,-1.59,99.7,99.0,97.4,105.5,96.1
"ENE 2001",118.5,4.77,2.58,12.51,5.19,-1.32,5.49,5.66,-1.12,98.0,96.1,95.6,92.0,100.9
"FEB 2001",115.4,-3.41,-1.65,-2.91,-5.04,-3.41,-5.53,-3.84,0.72,100.5,100.7,99.8,99.8,103.9
"MAR 2001",125.4,-3.60,-3.05,-3.72,-5.16,0.45,-5.58,-4.05,1.40,109.6,110.6,107.5,112.1,114.1
"ABR 2001",109.2,-0.33,0.00,1.21,-0.65,-2.98,5.87,-0.11,-4.13,99.2,100.1,97.8,98.6,105.3
"MAY 2001",125.8,-0.94,1.36,-2.20,-2.95,2.89,0.08,-1.47,4.43,101.1,102.9,101.2,101.1,108.5
"JUN 2001",123.6,-2.46,-2.30,-3.32,-3.94,3.37,0.55,-3.31,5.11,104.7,107.7,104.9,109.2,111.3
"JUL 2001",122.1,-0.39,-1.34,-1.73,-0.30,3.10,1.93,-0.96,3.28,100.4,102.5,103.2,100.0,107.0
"AGO 2001",85.7,3.18,1.59,10.48,1.64,3.93,0.48,2.83,6.61,79.5,79.0,84.0,72.6,80.5
"SEP 2001",115.9,-2.91,-4.17,-4.54,-2.52,1.54,-2.55,-3.45,2.33,104.4,106.8,106.6,106.2,109.8
"OCT 2001",124.6,2.97,4.33,0.18,3.27,3.77,9.64,2.71,4.08,105.3,107.3,109.3,104.1,110.7
"NOV 2001",121.2,-4.81,-1.84,-13.34,-4.17,1.11,-2.90,-5.90,4.27,103.2,103.2,105.6,101.9,104.5
"DIC 2001",102.6,-4.36,0.57,-12.65,-8.80,8.99,-0.11,-6.69,13.03,95.4,93.0,94.2,98.5,88.1
"ENE 2002",115.9,-2.23,1.47,-11.30,-2.67,4.55,-0.27,-3.44,6.19,95.3,92.4,95.1,86.9,95.9
"FEB 2002",114.0,-1.25,1.15,-9.07,0.64,0.82,3.66,-1.74,1.19,97.3,97.0,97.8,94.3,100.2
"MAR 2002",111.8,-10.81,-11.33,-20.13,-8.64,-0.45,-8.65,-12.10,0.46,107.4,108.1,106.0,107.4,111.6
"ABR 2002",121.3,11.10,15.31,6.85,10.85,10.63,7.30,10.98,13.48,98.6,99.4,97.2,97.4,104.6
"MAY 2002",123.2,-2.10,0.57,-9.23,-0.57,-0.35,-6.72,-2.14,-0.36,99.9,101.3,100.7,97.8,107.0
"JUN 2002",117.0,-5.34,-3.83,-13.66,-4.49,3.60,-13.29,-6.09,2.97,103.8,106.2,102.8,107.3,110.1
"JUL 2002",126.4,3.54,7.48,-3.96,5.01,3.12,0.00,3.68,3.75,101.0,102.7,102.7,99.3,107.9
"AGO 2002",82.1,-4.20,-0.52,-8.96,-5.73,-3.21,-15.70,-3.91,-3.86,78.6,78.0,82.8,71.0,80.0
"SEP 2002",118.5,2.28,4.56,-0.48,3.10,-0.70,0.09,2.55,0.00,104.4,106.5,105.5,105.0,110.7
"OCT 2002",131.0,5.10,8.58,0.09,6.82,0.80,0.00,5.65,2.02,106.3,107.4,109.0,103.7,111.7
"NOV 2002",121.8,0.49,0.37,0.19,2.53,-4.39,-6.50,1.27,-5.09,105.6,106.2,107.1,105.5,108.3
"DIC 2002",105.9,3.27,2.60,4.44,7.23,-4.95,-11.12,5.26,-7.86,95.3,93.3,93.5,98.6,89.7
"ENE 2003",115.6,-0.21,0.00,-4.25,2.43,-1.88,-6.50,0.31,-2.82,96.8,93.8,94.9,87.7,99.0
"FEB 2003",116.2,2.00,0.41,-1.40,4.01,5.25,-1.06,1.36,8.91,99.0,97.2,96.7,94.6,101.3
"MAR 2003",122.7,9.76,8.70,9.98,13.07,2.94,8.43,10.89,1.60,107.4,107.5,103.6,106.5,112.8
"ABR 2003",115.6,-4.65,-5.62,-7.99,-3.42,-1.50,-7.32,-4.75,-3.44,99.3,100.1,97.6,97.6,105.8
"MAY 2003",121.5,-1.36,-2.86,-4.03,0.38,1.17,-1.22,-1.33,-1.82,98.3,99.8,97.1,96.4,106.4
"JUN 2003",122.0,4.31,6.54,3.01,5.11,-0.79,3.35,4.86,-0.23,101.9,104.0,101.9,102.6,109.1
"JUL 2003",129.0,1.99,2.08,-1.56,2.77,4.64,-0.99,1.96,2.63,101.6,103.4,104.4,99.8,108.1
"AGO 2003",80.7,-1.61,-2.50,-7.96,-3.58,9.00,-4.18,-3.47,10.10,77.5,76.4,82.0,68.0,78.5
"SEP 2003",121.2,2.23,2.98,1.53,2.10,2.23,4.09,2.19,2.52,102.8,104.9,104.5,102.8,109.1
"OCT 2003",131.8,0.64,-1.39,4.08,-0.45,3.49,-2.00,0.27,3.84,107.6,108.5,108.4,105.5,113.1
"NOV 2003",122.8,0.89,-3.17,3.43,1.68,4.24,0.09,0.48,5.60,106.1,106.3,105.3,106.4,109.0
"DIC 2003",110.2,4.08,2.76,5.26,4.02,5.53,10.55,3.41,8.53,97.2,95.3,94.2,101.1,91.9
"ENE 2004",112.2,-3.01,-5.99,-0.22,-3.71,0.70,-2.94,-3.44,-0.10,97.3,94.1,94.0,88.3,100.0
"FEB 2004",118.4,1.86,-0.83,2.12,1.83,6.87,-6.42,1.75,4.20,100.1,98.7,97.0,96.2,103.7
"MAR 2004",131.7,7.33,8.30,7.16,4.61,13.52,0.95,6.54,15.30,109.0,108.7,105.3,108.4,113.3
"ABR 2004",116.8,1.04,-2.05,-1.11,2.33,7.76,-5.48,0.20,10.70,101.3,102.1,98.5,99.6,108.7
"MAY 2004",124.9,2.76,0.20,3.72,2.67,7.08,-7.56,2.22,10.02,102.0,103.6,99.0,101.8,110.2
"JUN 2004",129.2,5.90,2.21,10.27,6.03,7.24,-0.70,5.89,7.85,105.8,108.1,102.7,109.1,113.5
"JUL 2004",129.2,0.19,-3.98,2.70,0.74,4.23,-8.63,-0.37,6.82,104.5,106.5,104.3,104.1,111.9
"AGO 2004",85.4,5.79,4.45,9.05,6.95,3.26,-5.42,6.41,3.09,79.6,78.8,81.7,71.7,81.3
"SEP 2004",126.2,4.16,2.22,6.21,3.04,8.40,-7.36,3.79,9.59,106.8,108.9,105.3,108.7,113.5
"OCT 2004",122.7,-6.92,-9.86,-9.98,-5.78,1.53,-16.40,-7.83,4.15,109.6,111.0,107.8,110.1,116.1
"NOV 2004",128.6,4.69,5.11,3.87,3.79,7.81,3.65,4.43,7.51,107.2,106.9,105.0,106.5,110.8
"DIC 2004",111.8,1.41,1.72,-4.04,1.93,6.58,2.22,0.77,6.43,98.2,95.6,94.6,100.0,92.9
"ENE 2005",113.1,0.86,0.33,-6.07,1.39,9.10,-10.19,-0.32,10.91,98.6,96.1,93.7,90.5,103.1
"FEB 2005",117.2,-1.01,-1.56,-2.38,-1.69,3.73,-11.62,-1.92,7.64,100.5,98.8,96.1,96.9,103.7
"MAR 2005",123.1,-6.56,-7.03,-7.67,-8.09,-0.19,-16.18,-7.59,2.93,109.8,109.3,103.5,110.8,113.6
"ABR 2005",125.4,7.29,8.91,11.54,6.34,0.98,0.00,8.03,2.11,102.7,103.5,98.5,103.2,109.1
"MAY 2005",125.2,0.29,0.00,1.47,-0.37,1.19,5.04,0.00,2.25,102.2,103.5,99.3,102.4,109.1
"JUN 2005",129.1,-0.09,1.22,-1.11,-1.28,2.00,1.68,-0.55,3.00,106.6,108.5,102.7,111.7,112.0
"JUL 2005",124.8,-3.43,-3.13,-6.35,-4.06,2.28,-3.45,-4.14,2.60,105.3,106.8,102.3,106.5,112.2
"AGO 2005",88.9,4.07,5.03,2.26,6.65,-0.42,5.98,4.85,-0.43,81.4,81.1,85.4,73.5,83.9
"SEP 2005",126.6,0.29,0.66,-2.48,0.19,4.03,-1.80,0.09,2.03,108.6,110.9,107.1,112.0,114.4
"OCT 2005",122.7,0.00,0.10,-2.09,-0.38,3.76,-4.78,-0.10,1.51,110.8,112.5,109.4,111.5,117.1
"NOV 2005",129.9,1.03,0.18,-1.33,1.22,5.51,-2.11,0.37,6.27,111.1,111.3,108.6,112.6,113.7
"DIC 2005",113.5,1.50,-1.69,4.32,0.56,5.40,-8.69,0.76,6.71,101.1,98.7,95.4,105.7,95.6
"ENE 2006",121.3,7.21,9.20,12.59,5.39,4.03,1.24,8.13,5.05,101.4,98.3,95.2,94.1,104.4
"FEB 2006",122.0,4.09,5.39,5.58,2.84,2.80,7.65,4.43,1.82,103.9,102.4,97.0,103.3,106.6
"MAR 2006",138.3,12.38,11.09,18.82,12.81,4.37,16.65,13.68,1.04,114.3,113.8,106.6,117.3,117.8
"ABR 2006",113.6,-9.38,-12.51,-10.44,-8.94,-3.13,-5.31,-10.07,-6.20,105.4,106.4,100.1,106.5,112.7
"MAY 2006",133.6,6.71,5.19,8.61,6.98,3.97,3.98,6.69,2.97,108.5,110.5,104.4,110.4,116.9
"JUN 2006",135.3,4.83,0.93,6.74,6.41,2.69,2.17,4.77,1.56,111.9,114.4,105.4,117.8,120.3
"JUL 2006",129.3,3.65,0.67,7.07,4.23,2.61,-7.71,3.55,5.64,109.5,111.5,104.8,111.8,118.0
"AGO 2006",91.5,2.97,-0.61,14.39,3.40,3.81,2.70,3.78,2.69,86.6,86.8,87.9,81.0,90.6
"SEP 2006",127.3,0.57,-1.50,1.73,1.14,-0.20,-2.67,0.19,1.46,113.4,116.3,109.0,119.3,121.0
"OCT 2006",130.9,6.65,5.66,12.20,6.06,0.41,12.91,6.76,1.17,115.1,117.4,111.7,118.5,122.3
"NOV 2006",134.6,3.60,1.83,10.71,3.88,-6.87,0.81,4.50,-6.96,114.7,115.8,109.7,120.0,118.3
"DIC 2006",114.4,0.85,0.32,9.13,-1.11,-2.84,4.28,1.84,-2.70,106.4,105.4,100.1,114.1,103.0
"ENE 2007",129.3,6.63,7.72,10.97,7.11,-2.12,4.77,7.72,-1.12,105.5,104.4,99.1,102.2,111.0
"FEB 2007",125.7,3.05,3.11,7.88,3.55,-6.13,-7.11,4.15,-5.65,108.7,108.9,101.6,111.2,114.0
"MAR 2007",139.8,1.04,1.06,2.03,2.08,-4.55,-5.25,1.29,-1.78,119.6,120.8,110.8,126.4,126.1
"ABR 2007",119.4,5.07,3.96,7.46,3.27,8.81,2.28,4.60,11.02,108.7,110.6,101.9,112.7,117.3
"MAY 2007",138.1,3.32,3.07,5.93,1.48,4.54,2.35,3.27,3.74,112.5,114.9,105.8,117.4,121.5
"JUN 2007",135.4,0.09,-0.55,3.48,-0.61,-2.52,-1.96,0.35,-1.33,115.9,118.8,106.0,126.2,124.4
"JUL 2007",135.1,4.45,5.86,10.40,2.77,-3.68,17.43,5.10,-4.33,113.9,116.4,107.3,119.8,122.1
"AGO 2007",93.7,2.36,3.71,4.35,1.23,0.41,3.32,2.70,-0.31,90.8,91.3,91.4,87.7,94.2
"SEP 2007",125.6,-1.32,-3.71,1.43,-1.97,1.43,2.08,-1.50,0.52,117.6,120.5,109.9,126.9,124.9
"OCT 2007",137.8,5.32,4.89,9.15,3.81,3.60,3.63,5.16,7.23,120.5,122.4,114.2,127.6,126.1
"NOV 2007",133.5,-0.80,-1.71,-2.11,-1.96,8.31,-0.89,-2.02,13.20,118.4,118.8,110.7,126.4,120.5
"DIC 2007",114.7,0.21,0.54,0.10,-1.57,4.33,-9.58,-0.21,6.19,108.1,106.4,99.6,117.8,102.3
"ENE 2008",128.2,-0.83,2.51,-0.28,-4.49,1.44,-2.75,-1.02,1.13,109.5,108.3,101.4,109.2,113.6
"FEB 2008",130.5,3.82,4.38,5.79,0.10,10.16,6.25,3.32,8.49,112.0,112.4,102.6,118.1,116.8
"MAR 2008",118.4,-15.28,-16.87,-18.39,-17.74,3.21,-15.25,-16.72,1.91,121.7,122.8,109.2,130.6,127.5
"ABR 2008",133.6,11.96,15.03,16.56,9.21,5.12,11.78,12.40,5.96,113.5,114.9,102.0,121.9,120.1
"MAY 2008",126.4,-8.43,-8.66,-9.61,-9.86,-0.89,-20.07,-8.98,0.21,111.6,114.2,103.1,119.3,119.7
"JUN 2008",120.7,-10.89,-10.34,-13.22,-13.62,1.76,-22.12,-11.78,1.35,115.3,118.3,105.4,126.4,122.7
"JUL 2008",132.6,-1.86,0.62,-1.88,-5.48,3.92,-10.24,-2.12,3.08,112.7,115.1,106.0,118.7,120.4
"AGO 2008",82.9,-11.52,-11.44,-17.93,-14.34,0.91,-24.47,-13.27,4.31,89.5,89.9,89.1,86.8,93.0
"SEP 2008",119.7,-4.68,-1.58,-5.72,-7.96,-0.10,-16.74,-4.84,-1.13,114.2,116.9,107.0,124.2,119.1
"OCT 2008",121.0,-12.18,-7.13,-18.02,-16.17,-0.10,-18.56,-12.91,-3.42,113.8,115.3,109.6,120.0,116.7
"NOV 2008",109.0,-18.33,-12.53,-22.34,-24.95,-3.36,-29.01,-19.37,-5.14,108.0,108.2,105.3,115.4,105.2
"DIC 2008",96.3,-16.00,-6.71,-18.66,-28.28,-1.63,-18.03,-17.77,-2.35,94.8,92.5,94.7,104.2,79.9
"ENE 2009",96.8,-24.51,-17.80,-33.92,-32.71,-3.46,-32.68,-26.81,-3.44,91.4,87.6,94.4,84.1,85.7
"FEB 2009",98.9,-24.27,-14.07,-33.00,-31.84,-9.69,-35.80,-25.50,-10.87,91.1,88.9,94.3,87.8,86.4
"MAR 2009",102.4,-13.48,-0.95,-16.78,-21.57,-12.08,-24.32,-13.56,-11.72,98.0,97.3,100.6,100.1,93.5
"ABR 2009",95.7,-28.37,-20.79,-33.63,-36.36,-11.21,-38.33,-29.54,-13.22,89.0,89.5,94.5,88.6,87.0
"MAY 2009",98.3,-22.30,-12.85,-28.68,-28.45,-12.54,-27.66,-23.21,-11.00,92.2,93.2,97.7,92.4,91.3
"JUN 2009",103.4,-14.31,-4.12,-22.99,-18.82,-7.82,-15.37,-15.23,-5.43,95.6,97.0,99.5,97.9,95.2
"JUL 2009",110.1,-16.92,-10.74,-25.21,-20.51,-6.69,-28.63,-17.93,-5.14,94.7,95.5,100.7,91.2,96.1
"AGO 2009",74.1,-10.56,-5.65,-11.11,-16.90,-6.73,-16.86,-11.52,-3.53,76.1,75.4,83.6,68.1,74.4
"SEP 2009",104.5,-12.73,-5.32,-17.46,-17.71,-7.06,-16.33,-13.56,-4.05,99.4,101.1,103.3,101.1,100.2
"OCT 2009",105.6,-12.79,-9.76,-16.39,-14.91,-7.96,-20.32,-13.24,-6.27,101.0,101.6,104.5,98.8,102.5
"NOV 2009",104.7,-3.96,1.26,-8.02,-3.75,-10.22,-4.31,-3.34,-9.78,100.2,100.1,102.7,99.9,98.8
"DIC 2009",94.9,-1.49,0.91,-8.36,4.77,-8.07,-20.92,-0.39,-6.77,91.1,88.2,93.7,92.2,80.1
"ENE 2010",92.0,-4.96,-5.08,-7.01,-3.35,-5.70,-7.12,-5.14,-3.47,93.3,89.1,94.8,83.3,89.6
"FEB 2010",96.9,-1.94,-3.15,-3.52,1.12,-3.65,4.11,-2.46,2.58,94.8,92.6,95.4,90.3,92.5
"MAR 2010",109.4,6.79,8.49,1.99,8.03,7.73,7.78,6.37,11.04,105.4,105.0,106.3,105.2,104.4
